"1","벽산라이브파크","솔샘로 159","983-1156","19","25","1585","04. 08. 07"
"2","벽산라이브파크(임대)","솔샘로 159 ","982-0485","2","18","490","04. 08. 08"
"3","경남아너스빌(삼양동)","삼양로 74길 8 ","984-6600","4","15","208","07. 09. 07"
"4","삼성래미안","삼양로 256 ","983-1295","6","15","306","06. 11. 09"
"5","SH-Ville(임대)","삼양로 246-14 ","945-1921","1","7","57","07. 09. 18"
"6","미아현대","도봉로 68길 26","945-4065","3","13","231","92. 12. 21"
"7","한일아파트","오패산로60길 21","-","2","5","50","90. 07. 06"
"8","미아신구","오패산로60길 17-7","986-6271","1","12","105","00. 10. 05"
"9","신일해피트리","오패산로60길 22 ","988-6434","1","12","117","06. 03. 03"
"10","미아요진","도봉로 76길 52","985-9691","2","15","123","05. 07. 05"
"11","경남아너스빌(송중동)","오패산로30길 30 ","983-7447","11","23","860","03. 06. 20"
"12","한일UNI","월계로21가길 41 ","985-8873","8","17","384","02. 11. 29"
"13","동부센트레빌","숭인로7가길 37 ","980-5278","8","15","480","06. 04. 25"
"14","현대성우 (주상복합)","삼양로24길 19","983-7960","2","17","216","98. 10. 27"
"15","삼각산아이원","삼양로19길 113 ","984-8432","20","25","1344","03. 12. 30"
"16","삼각산아이원(임대)","삼양로19길 113 ","981-2793","2","25","673","03. 12. 30"
"17","SK북한산시티","솔샘로 174 ","6229-4611","47","25","3830","04. 05. 07"
"18","SK북한산시티(임대)","솔샘로 174 ","983-0093","7","20","1497","04. 05. 08"
"19","두원프라자 (주상복합)","도봉로 157 ","988-1822","1","8","48","96. 10. 18"
"20","번동삼성","도봉로 98길 33","999-0948","1","19","228","98. 12. 03"
"21","번동쌍용","한천로 124나길 10/16 ","990-4305","1","12","99","97. 05. 31"
"22","번동주공 제5단지(영구임대)","오현로31길 141?","987-3588","8","15","1123","91. 05. 15"
"23","번동주공 제4단지","오현로 207 ","984-7393","8","15","900","91. 04. 23"
"24","번동주공 제3단지(영구임대)","오현로 208 ","984-6152","8","15","1292","90. 11. 09"
"25","번동주공 제2단지(영구임대)","한천로105길 24 ","987-1462","11","15","1766","91. 05. 18"
"26","번동주공 제1단지","한천로105길 23 ","982-3367","14","15","1430","91. 05. 18"
"27","오동현대홈타운","오현로31길 89 ","989-2196","3","19","245","01. 09. 11"
"28","금호어울림","오현로31길 85-7 ","980-3111","3","20","284","98. 06. 24"
"29","훼미리힐","오현로 141 ","988-1421","1","15","54","96. 02. 21"
"30","수유역두산위브1차","덕릉로 41길 12","905-1807","2","20","193","09. 06. 29"
"31","수유역두산위브2차","덕릉로 41길 15 ","905-1807","1","20","99","09. 06. 29"
"32","해모로","오현로 156","981-6236","5","20","430","03. 07. 28"
"33","번동솔그린","한천로 109길 83 ","945-9426","4","20","380","99. 09. 16"
"34","번동한양","한천로 109길 69 ","985-2409","3","15","261","92. 11. 06"
"35","번동한솔아파트","오현로 180 ","945-0410","4","18","225","05. 09. 01"
"36","기산그린","월계로 37길 137 ","982-2339","2","21","263","00. 02. 24"
"37","번동한진","월계로 37길 61","984-7172","2","19","202","00. 12. 29"
"38","번동동문","오현로 128 ","980-0832","3","17","167","98. 08. 14"
"39","번동신원","월계로 37길 87-9 ","946-1635","3","20","285","00. 06. 08"
"40","번동현대","오현로 140 ","984-5709","1","16","90","97. 06. 27"
"41","수유현대","한천로 1131 ","991-3068","1","15","110","00. 07. 10"
"42","래미안수유","한천로 159길 8 ","991-3486","6","18","510","01. 11. 29"
"43","래미안수유(임대)","한천로 159길 8 ","991-3482","1","15","180","01. 11. 29"
"44","수유벽산","삼각산로 143-1 ","991-3747","13","15","1454","93. 11. 17"
"45","수유벽산 201동","삼양로 116길 20","997-1019","1","15","146","94. 02. 12"
"46","수유극동","인수봉로 72길 4 ","997-8093","7","15","574","92. 03. 23"
"47","우이성원","삼양로 658 ","908-5441","2","15","262","90. 10. 19"
"48","북한산굿모닝","삼양로 171길 21 ","908-4610","1","5","60","03. 06. 04"
"49","우이대우","삼양로 149길 33 ","991-4767","6","5","260","00. 11. 16"
"50","래미안 트리베라1차","삼양로 19길 25","946-1858","24","24","1247","10. 05. 28"
"51","래미안 트리베라2차","삼양로 27길 19 ","946-1850","22","25","1330","10. 05. 28"
"52","송천 센트레빌","숭인로 39 ","989-6517","9","15","376","10. 09. 10"
"53","미아뉴타운두산위브트래지움","삼양로27길 95","946-1294~5","24","23","1370","11. 10. 31"
"54","형인휴아름","수유로23길 48","900-3585","1","12","38","13. 01. 16"
"55","이너스 내안에","도봉로76가길 15 ","989-9201","1","7","71","13.08.30"